Season,Mapped ESPN Team Name,Seed,Net Rating,Adjusted Tempo,Adjusted Offensive Efficiency,Avg Possession Length (Offense),eFGPct,TOPct,ORPct,FTRate,Off3PtFG,FTPct,Bench,Adjusted Defensive Efficiency,Avg Possession Length (Defense),DefFT,cinderella
2021,Oregon State,12,16.39999999999999,65.5,112.1,18.9,48.9577464788732,17.6302826030594,29.8797409805735,34.8732394366197,29.8507462686567,76.4135702746365,29.61,95.7,17.6,22.3287671232877,0
2026,South Florida,11,16.39999999999999,71.5,117.3,15.7,51.1508325171401,15.2287832656438,38.3822363203806,41.2340842311459,33.0508474576271,74.2280285035629,27.85,100.9,17.1,21.9103477167993,0
2017,Rhode Island,11,16.299999999999997,66.4,111.5,17.7,50.7680872150644,16.4339578800617,32.85140562249,39.197224975223,25.2619324796275,66.7509481668774,35.9,95.2,17.8,26.1363636363636,0
2012,Purdue,10,16.299999999999997,64.3,116.2,18.7,51.0649,13.5953,31.3036,34.1258,33.8902,65.6023,33.48,99.9,18.3,19.1342,0
2004,Western Michigan,11,16.299999999999997,65.6,114.3,NA,51.7222,19.1837,40.1389,39.921,26.4328,71.57,NA,98,NA,20.3825,0
2017,Wake Forest,11,16.200000000000003,70.7,120.9,16.6,54.0664961636829,16.4391666314499,30.7218309859155,40.7161125319693,29.4182217343579,77.7638190954774,31.26,104.7,16.9,20.7109737248841,0
2025,Vanderbilt,10,16.200000000000003,69.5,117.8,16.6,51.5486725663717,14.5241555943395,31.6096747289408,33.4316617502458,30.7603686635945,74.5588235294118,37.89,101.6,17.8,20.7993474714519,0
2023,Penn State,10,16.10000000000001,64.3,117.2,18.9,55.4476551397442,13.706477032878,19.1722972972973,21.2695405021317,43.2098765432099,73.9420935412027,24.53,101.1,18.3,15.4912836767036,0
2003,Butler,12,16.10000000000001,58.6,115.4,NA,55.6487,17.3765,28.6805,32.5264,37.2061,71.7557,NA,99.3,NA,15.803,0
2019,Iowa,10,16.10000000000001,69.5,117.4,16.3,52.666999002991,17.1678153954909,29.8347107438017,42.3230309072782,31.2043795620438,73.8515901060071,32.15,101.3,18.2,16.1702127659574,0
2011,Richmond,12,16.099999999999994,62.1,112.6,18.2,53.0627,16.3974,28.8406,32.3207,33.4109,68.7211,27.24,96.5,19.6,18.234,0
